"field","field_type","field_description"
"area","character","Name of reference country"
"item_code","integer","2-4 digit crop item code"
"item","character","Crop item name"
"element","character","Element (production quantity)"
"year","integer","Year in YYYY format"
"unit","character","Unit of production quantity"
"country_iso3c","character","ISO 3166-1 alpha-3 code for reference country"
"value","numeric","Crop production quantity (in metric tons)"
"imputed_value","logical","Is the crop production quantity imputed?"
"source","character","Source of information"
