"field","field_type","field_description"
"source","character","Source of information"
"pest","character","Name of pest/pathogen"
"country","character","Name of country"
"country_code","character","ISO 3166-1 alpha-3 code for country"
"continent","character","Continent of country"
"year_published","numeric","Year article was published in YYYY format"
"issue","character","Issue number in which article was published"
"article_number","character","Article number in year/number format"
"title","character","Title of article"
"text","character","Full text of article"
"keyword1","character","First keyword describing content of article (e.g. new record, detailed record, absence, etc.)"
"keyword2","character","Second keyword describing content of article"
"url","character","URL of article"
"common_name","character","Common name of pest/pathogen"
"scientific_name","character","Scientific name of pest/pathogen"
"eppo_code","character","EPPO code of pest/pathogen"
"priority","logical","Whether pest/pathogen is a project priority"
"ippc_name","character","Pest/pathogen name used by IPPC"
"nappo_name","character","Pest/pathogen name used by NAPPO"
"kingdom","character","Kingdom of pest/pathogen"
"phylum","character","Phylum of pest/pathogen"
"class","character","class of pest/pathogen"
"order","character","Order of pest/pathogen"
"family","character","Family of pest/pathogen"
"genus","character","Genus of pest/pathogen"
"species","character","Species of pest/pathogen"
"mode_of_transmission","character","Mode of transmission of pest/pathogen"
"crops_affected","character","Crops affected by pest/pathogen"
"lookup_source","character","Source of lookup table information"
