"field","field_type","field_description"
"country","character","Name of country that provided report"
"country_code","character","ISO 3166-1 alpha-3 code for country that provided report"
"continent","character","Continent of country that provided report"
"report_number","character","Unique report number"
"year_published","numeric","Year report was published in YYYY format"
"date_published","Date","Date report was published in YYYY-MM-DD format"
"last_updated","Date","Date report was last updated in YYYY-MM-DD format"
"pest","character","Name of pest/pathogen"
"host","character","Name of host plant(s)"
"pest_status","character","Status of pest according to ISPM categories"
"title","character","Title of report"
"url","character","URL of report"
"ippc_eppo_code","character","EPPO code of pest/pathogen given in report"
"source","character","Source of information"
"text","character","Full text of report"
"cites_nappo","logical","Whether report references and includes link to report from NAPPO"
"common_name","character","Common name of pest/pathogen"
"scientific_name","character","Scientific name of pest/pathogen"
"eppo_code","character","EPPO code of pest/pathogen"
"priority","logical","Whether pest/pathogen is a project priority"
"eppo_name","character","Pest/pathogen name used by EPPO"
"nappo_name","character","Pest/pathogen name used by NAPPO"
"kingdom","character","Kingdom of pest/pathogen"
"phylum","character","Phylum of pest/pathogen"
"class","character","class of pest/pathogen"
"order","character","Order of pest/pathogen"
"family","character","Family of pest/pathogen"
"genus","character","Genus of pest/pathogen"
"species","character","Species of pest/pathogen"
"mode_of_transmission","character","Mode of transmission of pest/pathogen"
"crops_affected","character","Crops affected by pest/pathogen"
"lookup_source","character","Source of lookup table information"
