"field","field_type","field_description"
"country","character","Name of country that provided report"
"country_code","character","ISO 3166-1 alpha-3 code for country that provided report"
"continent","character","Continent of country that provided report"
"title","character","Title of report"
"year_published","numeric","Year report was published in YYYY format"
"date_published","POSIXct","Date report was published in YYYY-MM-DD format"
"url","character","URL of report"
"source","character","Source of information"
"pest","character","Name of pest/pathogen"
"text","character","Full text of report"
"common_name","character","Common name of pest/pathogen"
"scientific_name","character","Scientific name of pest/pathogen"
"eppo_code","character","EPPO code of pest/pathogen"
"priority","logical","Whether pest/pathogen is a project priority"
"eppo_name","character","Pest/pathogen name used by EPPO"
"ippc_name","character","Pest/pathogen name used by IPPC"
"kingdom","character","Kingdom of pest/pathogen"
"phylum","character","Phylum of pest/pathogen"
"class","character","class of pest/pathogen"
"order","character","Order of pest/pathogen"
"family","character","Family of pest/pathogen"
"genus","character","Genus of pest/pathogen"
"species","character","Species of pest/pathogen"
"mode_of_transmission","character","Mode of transmission of pest/pathogen"
"crops_affected","character","Crops affected by pest/pathogen"
"lookup_source","character","Source of lookup table information"
