"field","field_type","field_description"
"epi_event_id_unique","character","for most events, this is the same as epi_event_id. for events with reporting by strain or serotype, the epi_event_id is combined with the strain or serotype (this field is generated by EHA)"
"epi_event_id","numeric","id of the event"
"disease_id","numeric","id of the disease"
"reporting_level","character","inidcates if the outbreak is associated with a disease, a serotype/subtype/genotype or a more detailed strain"
"strain_eng","character","name of the detailed strain in english (if provided)"
"strain_fr","character","name of the detailed strain in french (if provided)"
"strain_esp","character","name of the detailed strain in spanish (if provided)"
"sero_sub_genotype_eng","character","name of the serotype/subtype/genotype in english (if provided)"
"sero_sub_genotype_fr","character","name of the serotype/subtype/genotype in french (if provided)"
"sero_sub_genotype_esp","character","name of the serotype/subtype/genotype in spanish (if provided)"
"disease_eng","character","name of the disease in english (if provided)"
"disease_fr","character","name of the disease in french (if provided)"
"disease_esp","character","name of the disease in spanish (if provided)"
"iso_code","character","iso code of the reporting country/territory"
"country","character","name of the country/territory"
"region","character","geographical region"
"reason_of_notification","character","reason for notification to oie"
"event_start_date","POSIXct","start date of the event"
"event_confirmation_date","POSIXct","confirmation date of the event"
"event_closing_date","POSIXct","closing date of the event"
"date_last_occurrence","POSIXct","date of last occurrence (only relevant for recurrences)"
"terra_aqua","character","disease of terrestrial or aquatic animals"
"standardized_disease_name","character","cleaned/standardized disease name"
"standardized_disease_name_alt","character","alternate name for disease"
"disease_group","character","pathogen taxonomy group (`bacteria`,  `virus`,  `eukaryote`, `prion`,  NA)"
"disease_order","character","pathogen taxonomy order"
"disease_family","character","pathogen taxonomy family"
"disease_genus","character","pathogen taxonomy genus"
"disease_species","character","pathogen taxonomy species"
"disease_abbreviation","character","pathogen name abbreviation"
"disease_details","character","additional information on the disease"
"disease_details1","character","additional information on the disease"
"disease_details2","character","additional information on the disease"
"disease_vector","character","pathogen vector if applicable"
