"field","field_type","field_description"
"report_outbreak_species_id_unique","character","unique combination of report_id, outbreak_id, and species (this field is generated by EHA)"
"report_id","numeric","id of the report"
"outbreak_id","character","id of the outbreak/cluster"
"species","character","name of species"
"epi_event_id_unique","character","for most events, this is the same as epi_event_id. for events with reporting by strain or serotype, the epi_event_id is combined with the strain or serotype (this field is generated by EHA)"
"in_fur","character","""in"" if the report is an immediate notification and ""fur"" if the report is a follow-up report"
"report_number","numeric","rank of the report in the event"
"report_nat_ref","character","national reference of the report (optional)"
"reporting_date","POSIXct","date of the report"
"outbreak_nat_ref","character","national reference of the outbreak/cluster (optional)"
"outbreak_start_date","POSIXct","date of start of the outbreak/cluster"
"outbreak_end_date","POSIXct","date of end of the outbreak/cluster"
"is_cluster","logical","""faux"" for outbreak, and ""vrai"" for cluster of several outbreaks"
"n_outbreaks_cluster","numeric","""1"" for outbreak, and a number greater than 1 shows the number of outbreaks in the cluster"
"epi_unit","character","epidemiological unit of the outbreak/cluster"
"longitude","character","longitude of the outbreak/cluster"
"latitude","character","latitude of the outbreak/cluster"
"location_aprox","logical","""false"" for exact location, ""true"" for approximate location"
"location_name","character","location of the outbreak/cluster"
"ob_area_id","numeric","id of the area of the outbreak/cluster"
"level3_area_id","character","id of the area of the outbreak/cluster (lowest level of areas)"
"level3_unique_code","character","id of the area of the outbreak/cluster (lowest level of areas)"
"level3_name","character","name of the area of the outbreak/cluster (lowest level of areas)"
"level2_area_id","character","id of the area of the outbreak/cluster (medium level of areas)"
"level2_unique_code","character","id of the area of the outbreak/cluster (medium level of areas)"
"level2_name","character","name of the area of the outbreak/cluster (medium level of areas)"
"level1_area_id","character","id of the area of the outbreak/cluster (larger level of areas)"
"level1_unique_code","character","id of the area of the outbreak/cluster (larger level of areas)"
"level1_name","character","name of the area of the outbreak/cluster (larger level of areas)"
"country_area_id","numeric","id of the area of the country/territory"
"country_unique_code","character","id of the area of the country/territory"
"country_name","character","name of the area of the country/territory"
"is_wild","logical","""true"" for outbreaks/clusters in wild species, ""false"" for outbreaks/clusters in domestic species"
"wild_type","character","type of wildlife (only relevant for recent outbreaks/clusters in wild species)"
"water_type","character","type of water (only relevant for diseases of aquatic animals)"
"quantitative_unit","character","unit of counting cases"
"susceptible","numeric","number of units of susceptible animals in the outbreak/cluster"
"cases","numeric","number of units of affected animals in the outbreak/cluster"
"dead","numeric","number of units of dead animals in the outbreak/cluster"
"killed_disposed","numeric","number of units of animals killed and disposed of in the outbreak/cluster"
"slaughtered","numeric","number of units of animals slaughtered/killed for commercial use in the outbreak/cluster"
"vaccinated","character","number of units of animals vaccinated in response to the outbreak/cluster"
"morbidity","character","% morbidity, by species by outbreak/cluster (only available for recent outbreaks/clusters)"
"mortality","character","% mortality, by species by outbreak/cluster (only available for recent outbreaks/clusters)"
