"table","field","field_type","field_description"
"augmented_data_aggregated","country_iso3c","character","ISO 3166-1 alpha-3 code for reference country"
"augmented_data_aggregated","continent","factor","Name of continent to which reference country belongs to"
"augmented_data_aggregated","disease_present_anywhere","logical","Is disease present anywhere?"
"augmented_data_aggregated","disease","character","Name of disease"
"augmented_data_aggregated","month","Date","Month in YYYY-MM-DD format with DD always being the first day of the month"
"augmented_data_aggregated","log_gdp_dollars","numeric","Reference country GDP in log dollars"
"augmented_data_aggregated","log_human_population","numeric","Reference country log human population"
"augmented_data_aggregated","log_target_taxa_population","numeric","Reference country log target taxa population"
"augmented_data_aggregated","log_veterinarians","numeric","Reference country log number of veterinarians"
"augmented_data_aggregated","outbreak_start","logical","Has an outbreak started in reference country?"
"augmented_data_aggregated","outbreak_subsequent_month","logical","Has there been an outbreak in the previous month in the reference country?"
"augmented_data_aggregated","outbreak_ongoing","logical","Is there an ongoing outbreak in the reference country?"
"augmented_data_aggregated","outbreak_start_while_ongoing_or_endemic","logical","Did the outbreak start while another outbreak is ongoing or if disease is endemic in reference country?"
"augmented_data_aggregated","endemic","logical","Is disease endemic in reference country?"
"augmented_data_aggregated","disease_country_combo_unreported","logical","Is the disease in the reference country unreported?"
"augmented_data_aggregated","n_migratory_wildlife_from_outbreaks","integer","Number of migratory wildlife coming into reference country from countries with outbreaks of the disease"
"augmented_data_aggregated","shared_borders_from_outbreaks","integer","Number of borders shared by reference country from countries with outbreaks of the disease"
"augmented_data_aggregated","ots_trade_dollars_from_outbreaks","numeric","Trade in dollars received by reference country from countries with outbreaks of the disease"
"augmented_data_aggregated","fao_livestock_heads_from_outbreaks","numeric","Number of livestock heads received by reference country from countries with outbreaks of the disease"
"augmented_data_disaggregated","country_iso3c","character","ISO 3166-1 alpha-3 code for reference country"
"augmented_data_disaggregated","continent","factor","Name of continent to which reference country belongs to"
"augmented_data_disaggregated","country_origin","character","ISO 3166 alpha-3 code for origin country"
"augmented_data_disaggregated","disease_present_anywhere","logical","Is disease present anywhere?"
"augmented_data_disaggregated","disease","character","Name of disease"
"augmented_data_disaggregated","month","Date","Month in YYYY-MM-DD format with DD always being the first day of the month"
"augmented_data_disaggregated","log_gdp_dollars","numeric","Reference country GDP in log dollars"
"augmented_data_disaggregated","log_human_population","numeric","Reference country log human population"
"augmented_data_disaggregated","log_target_taxa_population","numeric","Reference country log target taxa population"
"augmented_data_disaggregated","log_veterinarians","numeric","Reference country log number of veterinarians"
"augmented_data_disaggregated","outbreak_start","logical","Has an outbreak started in reference country?"
"augmented_data_disaggregated","outbreak_subsequent_month","logical","Has there been an outbreak in the previous month in the reference country?"
"augmented_data_disaggregated","outbreak_ongoing","logical","Is there an ongoing outbreak in the reference country?"
"augmented_data_disaggregated","outbreak_start_while_ongoing_or_endemic","logical","Did the outbreak start while another outbreak is ongoing or if disease is endemic in reference country?"
"augmented_data_disaggregated","endemic","logical","Is disease endemic in reference country?"
"augmented_data_disaggregated","disease_country_combo_unreported","logical","Is the disease in the reference country unreported?"
"augmented_data_disaggregated","n_migratory_wildlife_from_outbreaks","integer","Number of migratory wildlife coming into reference country from countries with outbreaks of the disease"
"augmented_data_disaggregated","shared_borders_from_outbreaks","integer","Number of borders shared by reference country from countries with outbreaks of the disease"
"augmented_data_disaggregated","ots_trade_dollars_from_outbreaks","numeric","Trade in dollars received by reference country from countries with outbreaks of the disease"
"augmented_data_disaggregated","fao_livestock_heads_from_outbreaks","numeric","Number of livestock heads received by reference country from countries with outbreaks of the disease"
"comtrade_data","count","numeric","count"
"comtrade_data","typeCode","character","Product type: Goods or Services"
"comtrade_data","freqCode","character","The time interval at which observations occur"
"comtrade_data","refPeriodId","integer","The period of time to which the measured observation is intended to refer"
"comtrade_data","refYear","integer","Year of observation"
"comtrade_data","refMonth","integer","Month of observation. For annual, it would bet set to 52"
"comtrade_data","period","character","Combination of year and month (for monthly), year for (annual)"
"comtrade_data","reporterCode","integer","The country or geographic area to which the measured statistical phenomenon relates"
"comtrade_data","reporterISO","character","ISO 3 code of reporter"
"comtrade_data","reporterDesc","character","Description of reporter"
"comtrade_data","flowCode","character","Trade flow or sub-flow (exports, re-exports, imports, re-imports, etc.)"
"comtrade_data","flowDesc","character","Description of trade flows"
"comtrade_data","partnerCode","integer","The primary partner country or geographic area for the respective trade flow"
"comtrade_data","partnerISO","character","ISO 3 code of 1st partner"
"comtrade_data","partnerDesc","character","Description of 1st partner"
"comtrade_data","partner2Code","integer","A secondary partner country or geographic area for the respective trade flow"
"comtrade_data","partner2ISO","character","ISO 3 code of 2nd partner"
"comtrade_data","partner2Desc","character","Description of 2nd partner"
"comtrade_data","classificationCode","character","Additional product classification to assist data search"
"comtrade_data","classificationSearchCode","character","Indicates the product classification used and which version (HS, SITC)"
"comtrade_data","isOriginalClassification","logical","Flag to indicate whether the classification is reported by country or not"
"comtrade_data","cmdCode","character","Product code in conjunction with classification code"
"comtrade_data","cmdDesc","character","Description of commodity /service category"
"comtrade_data","aggrLevel","integer","Hierarchical level of commodity/service category"
"comtrade_data","isLeaf","logical","Identification whether a product code has the most basic level (i.e.,sub-heading for HS)"
"comtrade_data","customsCode","character","Customs or statistical procedure"
"comtrade_data","customsDesc","character","Description of customs procedure"
"comtrade_data","mosCode","character","The mode of supply on delivery of services (trade in services only)"
"comtrade_data","motCode","integer","The mode of transport used when goods enter or leave the economic territory of a country"
"comtrade_data","motDesc","character","Description of mode of transport"
"comtrade_data","qtyUnitCode","integer","Unit of primary quantity"
"comtrade_data","qtyUnitAbbr","character","Abbreviation of primary quantity unit"
"comtrade_data","qty","numeric","Value of primary quantity"
"comtrade_data","isQtyEstimated","logical","Flag whether primary quantity is estimated or not"
"comtrade_data","altQtyUnitCode","integer","Unit of secondary quantity"
"comtrade_data","altQtyUnitAbbr","character","Abbreviation of secondary quantity unit"
"comtrade_data","altQty","numeric","Value of secondary quantity"
"comtrade_data","isAltQtyEstimated","logical","Flag whether secondary quantity is estimated or not"
"comtrade_data","netWgt","numeric","Net weight"
"comtrade_data","isNetWgtEstimated","logical","Flag whether net weight is estimated or not"
"comtrade_data","grossWgt","numeric","Gross weight"
"comtrade_data","isGrossWgtEstimated","logical","Flag whether gross weight is estimated or not"
"comtrade_data","cifvalue","numeric","Trade values in CIF"
"comtrade_data","fobvalue","numeric","Trade values in FOB"
"comtrade_data","primaryValue","numeric","Primary trade values (taken from CIF or FOB values)"
"comtrade_data","legacyEstimationFlag","integer","Legacy quantity estimation flag"
"comtrade_data","isReported","logical","Flag to indicate whether a record is reported by country"
"comtrade_data","isAggregate","logical","Flag to indicate whether a record is aggregated by UNSD"
"eppo_index_data","pest","character","Name of pest/pathogen"
"eppo_index_data","country","character","Name of reference country"
"eppo_index_data","year_published","character","Year article was published in YYYY format"
"eppo_index_data","issue","character","Issue number in which article was published"
"eppo_index_data","article_number","character","Article number in year/number format"
"eppo_index_data","title","character","Title of article"
"eppo_index_data","keyword1","character","First keyword describing content of article (e.g. new record, detailed record, absence)"
"eppo_index_data","keyword2","character","Second keyword describing content of article"
"fao_production_data","area","character","Reference country"
"fao_production_data","item_code","integer","FAO code for crop or livestock item"
"fao_production_data","item","character","Name of crop or livestock item"
"fao_production_data","element","character","Type of production measured (e.g. area harvested, quantity by weight, number of animals)"
"fao_production_data","year","integer","Year in YYYY format"
"fao_production_data","unit","character","Units for value"
"fao_production_data","value","numeric","Value for specific crop or livestock item"
