"field","field_type","field_description"
"country_iso3c","character","ISO 3166-1 alpha-3 code for reference country"
"continent","factor","Name of continent to which reference country belongs to"
"country_origin","character","ISO 3166 alpha-3 code for origin country"
"disease_present_anywhere","logical","Is disease present anywhere?"
"disease","character","Name of disease"
"month","Date","Month in YYYY-MM-DD format with DD always being the first day of the month"
"log_gdp_dollars","numeric","Reference country GDP in log dollars"
"log_human_population","numeric","Reference country log human population"
"log_target_taxa_population","numeric","Reference country log target taxa population"
"log_veterinarians","numeric","Reference country log number of veterinarians"
"outbreak_start","logical","Has an outbreak started in reference country?"
"outbreak_subsequent_month","logical","Has there been an outbreak in the previous month in the reference country?"
"outbreak_ongoing","logical","Is there an ongoing outbreak in the reference country?"
"outbreak_start_while_ongoing_or_endemic","logical","Did the outbreak start while another outbreak is ongoing or if disease is endemic in reference country?"
"endemic","logical","Is disease endemic in reference country?"
"disease_country_combo_unreported","logical","Is the disease in the reference country unreported?"
"n_migratory_wildlife_from_outbreaks","integer","Number of migratory wildlife coming into reference country from countries with outbreaks of the disease"
"shared_borders_from_outbreaks","integer","Number of borders shared by reference country from countries with outbreaks of the disease"
"ots_trade_dollars_from_outbreaks","numeric","Trade in dollars received by reference country from countries with outbreaks of the disease"
"fao_livestock_heads_from_outbreaks","numeric","Number of livestock heads received by reference country from countries with outbreaks of the disease"
