"field","field_type","field_description"
"count","numeric","count"
"typeCode","character","Product type: Goods or Services"
"freqCode","character","The time interval at which observations occur"
"refPeriodId","integer","The period of time to which the measured observation is intended to refer"
"refYear","integer","Year of observation"
"refMonth","integer","Month of observation. For annual, it would bet set to 52"
"period","character","Combination of year and month (for monthly), year for (annual)"
"reporterCode","integer","The country or geographic area to which the measured statistical phenomenon relates"
"reporterISO","character","ISO 3 code of reporter"
"reporterDesc","character","Description of reporter"
"flowCode","character","Trade flow or sub-flow (exports, re-exports, imports, re-imports, etc.)"
"flowDesc","character","Description of trade flows"
"partnerCode","integer","The primary partner country or geographic area for the respective trade flow"
"partnerISO","character","ISO 3 code of 1st partner"
"partnerDesc","character","Description of 1st partner"
"partner2Code","integer","A secondary partner country or geographic area for the respective trade flow"
"partner2ISO","character","ISO 3 code of 2nd partner"
"partner2Desc","character","Description of 2nd partner"
"classificationCode","character","Additional product classification to assist data search"
"classificationSearchCode","character","Indicates the product classification used and which version (HS, SITC)"
"isOriginalClassification","logical","Flag to indicate whether the classification is reported by country or not"
"cmdCode","character","Product code in conjunction with classification code"
"cmdDesc","character","Description of commodity /service category"
"aggrLevel","integer","Hierarchical level of commodity/service category"
"isLeaf","logical","Identification whether a product code has the most basic level (i.e.,sub-heading for HS)"
"customsCode","character","Customs or statistical procedure"
"customsDesc","character","Description of customs procedure"
"mosCode","character","The mode of supply on delivery of services (trade in services only)"
"motCode","integer","The mode of transport used when goods enter or leave the economic territory of a country"
"motDesc","character","Description of mode of transport"
"qtyUnitCode","integer","Unit of primary quantity"
"qtyUnitAbbr","character","Abbreviation of primary quantity unit"
"qty","numeric","Value of primary quantity"
"isQtyEstimated","logical","Flag whether primary quantity is estimated or not"
"altQtyUnitCode","integer","Unit of secondary quantity"
"altQtyUnitAbbr","character","Abbreviation of secondary quantity unit"
"altQty","numeric","Value of secondary quantity"
"isAltQtyEstimated","logical","Flag whether secondary quantity is estimated or not"
"netWgt","numeric","Net weight"
"isNetWgtEstimated","logical","Flag whether net weight is estimated or not"
"grossWgt","numeric","Gross weight"
"isGrossWgtEstimated","logical","Flag whether gross weight is estimated or not"
"cifvalue","numeric","Trade values in CIF"
"fobvalue","numeric","Trade values in FOB"
"primaryValue","numeric","Primary trade values (taken from CIF or FOB values)"
"legacyEstimationFlag","integer","Legacy quantity estimation flag"
"isReported","logical","Flag to indicate whether a record is reported by country"
"isAggregate","logical","Flag to indicate whether a record is aggregated by UNSD"
