"field","field_type","field_description"
"reporter_countries","character","Reporter country"
"partner_countries","character","Partner country"
"item_code","integer","FAO code for crop or livestock item"
"item","character","Name of crop or livestock item"
"element_code","integer","Code corresponding to import/export, quantity/value, and unit"
"element","character","Whether trade is reported as export quantity, export value, import quantity, or import value"
"year","integer","Year in YYYY format"
"unit","character","Units for value"
"value","numeric","Value for trade of specific crop or livestock item"
"flag","character","Flags (e.g. official figure, estimated value)"
