"field","field_type","field_description"
"Country","character","Name of reference country"
"CountryID","character","ISO 3166-1 alpha-3 code for reference country"
"Year","numeric","Year in YYYY format"
"Veterinarians - Animal health activities - Public Administration","numeric","Number of veterinarians in animal health activities specifically in public administration"
"Veterinarians - Animal health activities - Private Accredited Practitioners","numeric","Number of veterinarians in animal health activities specifically as private accredited practitioners"
"Veterinarians - Animal health activities - total","numeric","Number of veterinarians in animal health activities in total"
"Veterinarians - Public Health activities - Public Administration","numeric","Number of veterinarians in public health activities specifically in public administration"
"Veterinarians - Public Health activities - Private Accredited Practitioners","numeric","Number of veterinarians in public health activities specifically as private accredited practitioners"
"Veterinarians - Public Health activities- total","numeric","Number of veterinarians in public health activities in total"
"Veterinarians - Laboratories - Public Administration","numeric","Number of veterinarians in laboratories specifically in public administration"
"Veterinarians - Laboratories - Private Accredited Practitioners","numeric","Number of veterinarians in laboratories specifically as private accredited practitioners"
"Veterinarians - Laboratories- total","numeric","Number of veterinarians in laboratories in total"
"Veterinarians - Academic/Training Institutions","numeric","Number of veterinarians in academic/training institutions"
"Veterinary Paraprofessionals - 'Animal health activities'","numeric","Number of veterinary paraprofessionals in animal health activities"
"Veterinary Paraprofessionals - 'Community Animal Health workers'","numeric","Number of veterinary paraprofessionals in community animal health activities"
