"table","field","field_type","field_description"
"world_bank_data","country_iso3c","character","ISO 3166-1 alpha-3 code for reference country"
"world_bank_data","year","integer","Year in YYYY format"
"world_bank_data","gdp_dollars","numeric","Value for GDP in US Dollars"
"world_bank_data","human_population","numeric","Value for human population size"
"fao_production_data","area","character","Reference country"
"fao_production_data","item_code","integer","FAO code for crop or livestock item"
"fao_production_data","item","character","Name of crop or livestock item"
"fao_production_data","element","character","Type of production measured (e.g. area harvested, quantity by weight, number of animals)"
"fao_production_data","year","integer","Year in YYYY format"
"fao_production_data","unit","character","Units for value"
"fao_production_data","value","numeric","Value for specific crop or livestock item"
"fao_trade_data","reporter_countries","character","Reporter country"
"fao_trade_data","partner_countries","character","Partner country"
"fao_trade_data","item_code","integer","FAO code for crop or livestock item"
"fao_trade_data","item","character","Name of crop or livestock item"
"fao_trade_data","element_code","integer","Code corresponding to import/export, quantity/value, and unit"
"fao_trade_data","element","character","Whether trade is reported as export quantity, export value, import quantity, or import value"
"fao_trade_data","year","integer","Year in YYYY format"
"fao_trade_data","unit","character","Units for value"
"fao_trade_data","value","numeric","Value for trade of specific crop or livestock item"
"fao_trade_data","flag","character","Flags (e.g. official figure, estimated value)"
"iucn_wildlife_data","taxonid","integer","Taxonomic identifier provided by IUCN"
"iucn_wildlife_data","scientific_name","character","Scientific name"
"iucn_wildlife_data","subspecies","character","Subspecies name"
"iucn_wildlife_data","rank","character","Taxonomic rank"
"iucn_wildlife_data","subpopulation","character","Sub-population name"
"iucn_wildlife_data","category","character","IUCN Red List classification"
"iucn_wildlife_data","country","character","Country name"
"vet_population_data","Country","character","Name of reference country"
"vet_population_data","CountryID","character","ISO 3166-1 alpha-3 code for reference country"
"vet_population_data","Year","numeric","Year in YYYY format"
"vet_population_data","Veterinarians - Animal health activities - Public Administration","numeric","Number of veterinarians in animal health activities specifically in public administration"
"vet_population_data","Veterinarians - Animal health activities - Private Accredited Practitioners","numeric","Number of veterinarians in animal health activities specifically as private accredited practitioners"
"vet_population_data","Veterinarians - Animal health activities - total","numeric","Number of veterinarians in animal health activities in total"
"vet_population_data","Veterinarians - Public Health activities - Public Administration","numeric","Number of veterinarians in public health activities specifically in public administration"
"vet_population_data","Veterinarians - Public Health activities - Private Accredited Practitioners","numeric","Number of veterinarians in public health activities specifically as private accredited practitioners"
"vet_population_data","Veterinarians - Public Health activities- total","numeric","Number of veterinarians in public health activities in total"
"vet_population_data","Veterinarians - Laboratories - Public Administration","numeric","Number of veterinarians in laboratories specifically in public administration"
"vet_population_data","Veterinarians - Laboratories - Private Accredited Practitioners","numeric","Number of veterinarians in laboratories specifically as private accredited practitioners"
"vet_population_data","Veterinarians - Laboratories- total","numeric","Number of veterinarians in laboratories in total"
"vet_population_data","Veterinarians - Academic/Training Institutions","numeric","Number of veterinarians in academic/training institutions"
"vet_population_data","Veterinary Paraprofessionals - 'Animal health activities'","numeric","Number of veterinary paraprofessionals in animal health activities"
"vet_population_data","Veterinary Paraprofessionals - 'Community Animal Health workers'","numeric","Number of veterinary paraprofessionals in community animal health activities"
"comtrade_data","type_code","character","Product type: Goods or Services"
"comtrade_data","freq_code","character","The time interval at which observations occur"
"comtrade_data","ref_period_id","integer","The period of time to which the measured observation is intended to refer"
"comtrade_data","ref_year","integer","Year of observation"
"comtrade_data","ref_month","integer","Month of observation. For annual, it would bet set to 52"
"comtrade_data","period","character","Combination of year and month (for monthly), year for (annual)"
